年份,地区,地区_归一化,文本总词频,环境规制强度_Z1,环保词频_总计,环保词频_污染防治,环保词频_绿色低碳,环保词频_生态保护,环保词频_环境监管,人均地区生产总值（元）,地区生产总值（万元）,第三产业增加值占GDP比重（%）,生活垃圾卫生填埋场处理量（万吨）,生活垃圾焚烧厂处理量（万吨）,无害化处理量（万吨）,生活垃圾清运量（万吨）,市容环卫专用车辆设备总数（台）,市容环境卫生投资（万元）
2013,三亚市,三亚,3599,1.9171992220061127,69,13,11,18,27,64395.0,3734888.0,66.9,26.14,,26.14,26.14,254.0,1077.0
2014,三亚市,三亚,4426,1.762313601446001,78,10,8,27,33,54584.0,4022558.0,65.01,33.65,,33.65,33.65,328.0,900.0
2015,三亚市,三亚,4611,1.6482324875298202,76,9,10,25,32,58486.0,4358202.0,65.72,12.78,32.84,45.62,45.77,412.0,
2016,三亚市,三亚,4973,1.6891212547757894,84,19,12,31,22,63273.0,4755567.0,66.09,20.35,36.52,56.87,56.87,335.0,
2017,三亚市,三亚,3903,1.7934921854983348,70,12,7,24,27,69780.0,5298048.0,,16.07,46.3,62.37,62.37,1049.0,
2018,三亚市,三亚,5231,2.102848403746893,110,18,15,39,38,77429.0,5955057.0,68.68,27.0,39.0,70.0,70.0,1629.0,2200.0
2019,三亚市,三亚,6402,1.8119337706966567,116,15,12,37,52,87105.0,6780000.0,72.86,34.6955,39.501,81.5965,81.5965,2772.0,2200.0
2020,三亚市,三亚,6016,1.579122340425532,95,8,5,24,58,68656.0,6950000.0,72.33,20.9998,53.95327,81.46431,81.46431,2772.0,2613.02
2021,三亚市,三亚,8654,1.5137508666512596,131,14,17,37,63,79809.0,8350000.0,73.89,0.01,81.4,89.3,89.3,7073.0,0.0
2022,三亚市,三亚,8430,1.755634638196916,148,12,16,55,65,79840.0,8470000.0,73.43,0.0,77.0641,83.0045,83.0045,4065.0,86.0
2023,三亚市,三亚,7307,1.464349254139866,107,11,12,39,45,89446.0,9710000.0,74.93,0.0,82.7613,89.06,89.06,4225.0,4577.0
2013,上海市,上海,5768,1.022884882108183,59,1,10,14,34,90092.0,216021200.0,62.24,419.03,169.99,665.75,735.0,5237.0,61267.0
2014,上海市,上海,4956,1.2510088781275222,62,6,9,15,32,97370.0,235677000.0,64.82,328.77,238.48,608.41,608.41,5371.0,188394.0
2015,上海市,上海,5357,1.2507000186671644,67,4,11,11,41,103796.0,251234500.0,67.76,329.22,249.95,613.19,613.2,5503.0,285577.0
2016,上海市,上海,5891,1.2391784077406214,73,2,15,13,43,116562.0,281786500.0,69.78,329.55,272.93,629.37,629.37,7036.0,65828.0
2017,上海市,上海,4912,1.4861563517915308,73,5,9,11,48,126634.0,306329900.0,69.18,369.77,360.81,743.07,743.07,8583.0,102899.0
2018,上海市,上海,6797,1.3976754450492863,95,4,15,26,50,134982.0,326798700.0,69.9,394.29567,385.99782,784.73389,784.73389,8579.0,210627.35
2019,上海市,上海,4899,1.2859767299448868,63,4,11,12,36,157279.0,381560000.0,72.73,215.2901,492.5888,750.6455,750.6455,9252.0,158629.66
